name,similar,desc,tags,num_eps,agg_review,1,2,3,4,5
07-ghost,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Teased unmercifully for his past as an orphan and a slave, Teito has only his best friend Mikage and his mastery of the magical art of Zaiphon to ease his days at the elite Barsburg Academy.
          ",Yomiuri Telecasting Corporation (YTV)::07 ghost::07-ghost::shounen ai::anime::bishounen::fantasy::josei::magic::military,25,4.5,9,13,26,179,1169
100-teacher-pascal,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Pascal-sensei has been the teacher for Kinoeda Grade School’s Class 4-1. Pascal-sensei speaks very nicely but the gap between what he says and does is super extreme. Days filled with fussy gags involving a student from class 4-1, Hayato-kun, is about to begin!
          ",ShoPro,36,3.5,1,0,0,1,1
11eyes,Asura Cryin'::BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online,"
          Satsuki Kakeru lived an ordinary life, until one day - with childhood friend Minase Yuka - they are transported to a different world.
        ",Marvelous AQL Inc.::11eyes::11 eyes::tsumi to batsu to aganai no shoujo::harem::moe::action::anime::ecchi::visual novel,12,4.5,42,43,112,375,1566
5-centimeters-per-second,MY love  STORY!!::Tsukigakirei::Hourou Musuko Wandering Son::GLASSLIP,"
            Beginning with the lyrical image of cherry blossoms falling at five centimeters a second, Makoto Shinkai paints a breathtaking vivid tableau of young love, desire, loss, and hope.  Told in three heartbreaking chapters, we follow the young dreamer Takaki through his life as cruel winters, cold technology, silence, and, finally, adult obligations and responsibility converge to crush the delicate petals of true love.
          ",CoMixWave Films::drama::romance::beautiful::makoto shinkai::slice of life::english dub available,2,5,16,7,27,96,1366
91-days,JOKER GAME::EVIL OR LIVE::Classroom of the Elite::Tabimachi Lateshow,"
            During Prohibition, the law held no power and the mafia ruled the town. The story takes place in Lawless, a town thriving on black market sales of illicitly brewed liquor. One day, Avilio receives a letter from a mysterious sender, prompting him to return to Lawless for revenge. He then infiltrates the Vanetti family, the ones responsible for his family's murder, and sets about befriending the don's son, Nero, to set his vengeance in motion. Killing brings more killing, and revenge spawns more revenge.  How will the 91-day story of these men guided by a tragic fate end?
          ",Shochiku::drama::historical::seinen,27,4.5,0,1,11,16,122
a-bridge-to-the-starry-skies-hoshizora-e-kakaru-hashi,"Demon King Daimao::Canvas 2: Niji Iro no Sketch::We, Without Wings - under the innocent sky::Bakemonogatari","
            Kazuma Hoshino moves to the beautiful countryside to take care of his little brother, Ayumu Hoshino. They ended up  they getting lost on their way to the Japanese Inn.
          ",Marvelous AQL Inc.::a bridge to the starry skies::hoshizora e kakaru hashi::anime::hoshikaka::visual novel::comedy::ecchi::harem::crunchyroll hoshikaka,13,4.5,15,14,56,186,1007
a-centaurs-life,Miss Kobayashi's Dragon Maid::ReLIFE::Interviews With Monster Girls::Yamada-kun and the Seven Witches,"
            Kimihara Himeno, also known as ""Hime,"" goes about her life, love, and studies just like any ordinary high school girl. The only difference is that she's a centaur. She enjoys her school life along with classmates of many unique shapes, including Nozomi the draconid, Kyoko the goatfolk, an angelfolk class representative, and Sassas-chan the Antarctican. Hime's younger cousin Shino-chan, her friend Maki-chan, and the class representative's four younger sisters also join the cast in this very cute slice-of-life story about girls who are human, yet aren't!
          ",EMON::a centaur's life::slice of life::seinen::comedy::fantasy::romance::crunchyroll co-production::centaur no nayami,12,3.5,8,14,8,23,13
a-certain-magical-index,Shamanic Princess::Katana Maidens ~ Toji No Miko::Lord of Vermilion: The Crimson King::Monster Strike,"
            Kamijo is a student in Academy City, where people use science to develop supernatural abilities. The guy’s got a lot of heart – luckily for a young nun named Index. She’s on the run from a sorcery society that covets the astonishing 103,000 volumes of magical knowledge stored in her memory. When Index stumbles into Kamijo’s life, she find a faithful friend and protector, and while Kamijo’s easily the weakest kid in Academy City, he’s got something else going for him: the Imagine Breaker, an unexplainable power stored in his right hand that negates the powers of others.
          ",NBC Universal::fantasy::sci-fi::action::toaru majutsu no index,23,3.5,7,11,7,22,27
a-dark-rabbit-has-seven-lives,Starlight Promises::The World is Still Beautiful::Campione!::We Rent Tsukumogami,"
          Freshman Kurogane Taito was always an ordinary, regular guy, except for a promise made to the beautiful vampire, Saitohimea nine years ago.
        ",Kadokawa Pictures Inc.::demons::school life::vampires::anime::dark rabbit has seven lives::itsuka tenma no kuro usagi::itsuten::kurenai gekkō no seitokaishitsu::light novel,13,4.5,24,24,49,157,875
a-lull-in-the-sea-nagi-asu-nagi-no-asukara,We Rent Tsukumogami::Hiiro No Kakera::Nagi no Asukara (Nagi-Asu: A Lull in the Sea)::The Fruit of Grisaia,"
            Long ago, humans lived in the sea. However, some humans defied the Sea God and moved to the land, creating the division that now exists between Shioshishio, the Sea Village, and Oshiooshi, the village of the land. Now, four middle school students from the Sea Village, Manaka Mukaido, Hikari Sakishima, Chisaki Hiradaira, and Kaname Isaki must attend Mihama Middle School on the land. While getting used to their new lives, these four and their new friend from the land, Tsumugu Kihara, learn how true bonds of love and friendship can overcome any separation.
          ",NIS America::drama::fantasy::romance::english dub available,26,4.5,0,0,3,2,20
a-place-further-than-the-universe,MUSHI-SHI::HaNaYaMaTa::Oreshura::Yotsuiro Biyori,"
            Scenery that we have never seen. Sounds that we have never heard. Scent that we have never smelled. Food that we have never tasted. And the surge of emotion that we have never experienced. This is the expedition of recollecting the pieces torn apart and sensation left alone. When we reach that place, what will we think? Howling, 40 degree angle. Raging, 50 degree angle. Shouting, 60 degree angle. A wilderness beyond the heavy sea. The furthest south, far from civilization. At the top of the Earth. We will find lights through the girls' eyes to live tomorrow.
          ",Kadokawa Pictures Inc.::a place further than the universe::adventure::uchuu yori mo tooi basho::sora yori mo tooi basho::yorimoi::crunchyroll co-production::slice of life::shoujo::seinen,13,5,2,1,1,10,178
a-sisters-all-you-need,Saekano -How to Raise a Boring Girlfriend-::NEW GAME!::My First Girlfriend is a Gal::Golden Time,"
            Every day is full of fun. But something is missing. ""My life would be amazing if only I had a little sister. Why don’t I have a little sister...?"" These are the musings of little sister-lover and novelist Itsuki Hashima, who only writes works featuring little sisters. Around him gather a number of unique people: genius author/pervert Nayuta, female college student Miyako, illustrator Puriketsu, and the brutish tax accountant Ashley. Each of them hold their own worries, but live their peaceful daily lives while writing novels, playing video games, drinking alcohol, and filing their tax returns.
          ",Bandai Visual::romance::ecchi::comedy::drama::slice of life::a sister's all you need,12,4.5,9,3,4,25,71
a-talk-on-titan,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Join your favorite Crunchyroll hosts as they break down the latest episode of Attack on Titan! Each week will feature a discussion of the most recent episode, as well as our theories on what's going to happen next.
          ",crunchyroll,5,1.5,9,0,0,1,1
a-town-where-you-live,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            How far would you go for true love? 
 
All his friends said he was just being ""stupid"" and ""delusional,"" but Haruto just couldn't give up on her... Yuzuki, the girl that showed up on his doorstep one day, stole his heart the next, and then left just as abruptly as she arrived. With the faint hope of rekindling the romance they'd shared, Haruto decides to pursue her, moving away from the rural outskirts of Hiroshima to the big city of Tokyo.
          ",Nozomi Entertainment,12,4,0,2,2,2,5
a-wind-named-amnesia,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Are we shackled by civilization? What is a human being, when freed from the pressures of society? A mysterious wind blows away all of humanity’s memories and reduces people to a more primitive state. Through certain circumstances, Wataru has relearned how to speak and think, and now is determined to find out just what remains in the wake of the wind. Joined by a strange woman named Sophia, the two of them set out on a journey across what was once known as the United States of America. Along the way, they will witness the true nature of man, and just what it means to be human.
          ",Discotek Media,1,4.5,0,0,0,2,2
aachi-ssipak,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Aachi & Ssipak is a whacked story about two hoodlums who steal and sell addictive popsicles on the black market in a post-apocalyptic dystopia.  They must fend for their lives in this eye-popping film that redefines animated action.
          ",cinedigm,1,3,1,0,0,2,0
acca-13-territory-inspection-dept,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            ""ACCA"" is a giant unified syndicate residing in a kingdom split into 13 autonomous regions. ACCA was formed back when there was threat of a coup d'etat, and it has continued to protect the peace of civilians for almost one hundred years. 
Jean Otus, the vice-chairman of the inspections department at ACCA headquarters, is one of the most cunning men in the syndicate's history with the nickname ""Jean the Cigarette Peddler."" 
Whimsically puffing his cigarettes, he wanders through the 13 districts, checking to see if there is any foul play afoot.
          ",Bandai Visual,12,4.5,0,2,3,11,42
ace-attorney,JOKER::Black Jack::Hagane Orchestra::No Game No Life,"
            Adapted from the popular video game franchise, Ace Attorney follows rookie lawyer Naruhodo Ryuuichi (Phoenix Wright) and his assistant Mayoi (Maya) as he defends his clients in a court of law. With limited evidence and logic as his only weapon, can Naruhodo turn the case around when all the odds are stacked against him?
          ",Yomiuri Telecasting Corporation (YTV)::video game::adventure::comedy::shounen,69,4,19,12,12,22,65
ace-of-the-diamond,Hinomaru Sumo::Run with the Wind::MAJOR 2nd::Yowamushi Pedal,"
            I want to pitch to that mitt again... 
A meeting with catcher Kazuya Miyuki changed the 15-year-old Eijun Sawamura's life. 
He said goodbye to all his friends and knocked upon the door of Seidou, a prestigious baseball school, intent on testing his own strength. There, he met many proud baseball players who were betting everything on the sport! 
A classic tale, yet new and fresh. All the emotion and excitement of the popular baseball manga is at last coming to television in the form of an anime!
          ",TV TOKYO::ace of the diamond::sports::shounen::daiya no a::daiya no ace::ace of diamond,127,4.5,2,7,6,19,110
